Region,County,Gender,Age,Grade,Disability,Residence,SchoolType
Western,Embu,Male,5,Pre-School,Hearing,Urban,Regular
North Eastern,Marsabit,Female,5,Pre-School,Visual,Urban,Regular
Nairobi,Kakamega,Female,8,Three,Hearing,Urban,Regular
Coast,Kakamega,Male,9,One,Hearing,Urban,Regular
North Eastern,Baringo,Male,6,Two,Physical,Urban,Regular
North Eastern,Nyamira,Male,8,Three,Hearing,Urban,Regular
Nairobi,Mombasa,Female,6,Three,Hearing,Urban,Regular
Nyanza,Kwale,Female,10,Three,Physical,Urban,Integrated
North Eastern,Samburu,Male,9,Three,Hearing,Rural,Regular
Nairobi,Bungoma,Female,5,Pre-School,Hearing,Urban,Integrated
Western,Kericho,Female,8,One,Visual,Rural,Integrated
Eastern,Tharaka Nithi,Female,10,Two,Visual,Rural,Integrated
Rift Valley,Elgeyo Marakwet,Female,10,One,Visual,Urban,Regular
Western,Mandera,Female,6,Three,Visual,Rural,Regular
Nyanza,Lamu,Female,10,Three,Hearing,Urban,Regular
Western,Samburu,Male,6,Three,Physical,Urban,Integrated
Central,Migori,Female,10,One,Physical,Urban,Special
Rift Valley,Nyeri,Female,10,One,Physical,Urban,Special
Coast,Kisumu,Female,5,Pre-School,Hearing,Urban,Regular
North Eastern,Kilifi,Male,5,Pre-School,Hearing,Rural,Regular
Nairobi,Kilifi,Male,10,Two,Physical,Rural,Regular
Western,Narok,Male,7,Two,Visual,Urban,Regular
Nairobi,Vihiga,Male,7,Two,Hearing,Urban,Regular
Coast,Nandi,Female,9,One,Physical,Urban,Regular
Nairobi,Makueni,Female,6,Three,Hearing,Urban,Regular
Coast,Makueni,Female,10,Two,Visual,Urban,Regular
Western,Samburu,Female,9,One,Physical,Urban,Regular
Rift Valley,West Pokot,Male,6,Three,Physical,Urban,Regular
Rift Valley,Wajir,Male,10,Three,Physical,Urban,Integrated
Nyanza,Nakuru,Male,9,One,Visual,Urban,Regular
Nyanza,Isiolo,Male,9,Three,Physical,Urban,Regular
Nyanza,Kwale,Female,8,Three,Visual,Rural,Regular
Eastern,Nyamira,Male,5,Pre-School,Physical,Urban,Integrated
Western,Nairobi,Male,5,Pre-School,Visual,Urban,Integrated
Nyanza,Kisii,Female,6,Two,Hearing,Rural,Regular
Nyanza,West Pokot,Male,8,Three,Physical,Urban,Integrated
Eastern,Siaya,Female,10,Three,Physical,Urban,Regular
Western,Trans Nzoia,Male,6,Three,Visual,Urban,Integrated
Central,Marsabit,Female,8,Two,Hearing,Rural,Regular
Coast,Busia,Male,9,Two,Visual,Urban,Integrated
Eastern,Laikipia,Female,7,Two,Visual,Urban,Integrated
Rift Valley,Nakuru,Male,5,Pre-School,Hearing,Urban,Integrated
Nairobi,Kisumu,Female,9,One,Physical,Urban,Regular
Coast,Machakos,Female,9,One,Hearing,Rural,Regular
Western,Turkana,Female,10,One,Visual,Urban,Regular
North Eastern,Homa Bay,Male,7,One,Hearing,Rural,Regular
Central,Kisii,Female,7,Two,Hearing,Rural,Regular
Western,Tharaka Nithi,Male,5,Pre-School,Visual,Rural,Regular
Western,Lamu,Female,7,One,Hearing,Urban,Regular
Western,Kilifi,Female,9,Three,Physical,Urban,Regular
Coast,Kajiado,Female,10,Three,Visual,Urban,Regular
Nyanza,Nandi,Female,7,Three,Visual,Rural,Regular
Western,Garissa,Male,9,Three,Physical,Rural,Regular
Eastern,Kisii,Male,8,Two,Visual,Urban,Regular
Western,Kajiado,Male,10,One,Hearing,Urban,Integrated
Nyanza,Samburu,Male,10,Two,Hearing,Rural,Regular
Central,Wajir,Male,7,One,Hearing,Urban,Special
Eastern,Laikipia,Female,7,Three,Visual,Urban,Regular
Western,Meru,Female,6,One,Hearing,Urban,Integrated
Nairobi,Homa Bay,Male,5,Pre-School,Hearing,Rural,Regular
Nyanza,Marsabit,Male,5,Pre-School,Physical,Rural,Regular
Eastern,West Pokot,Male,8,Two,Physical,Urban,Regular
North Eastern,Uasin Gishu,Male,9,Three,Physical,Urban,Integrated
Western,Nyamira,Female,5,Pre-School,Physical,Urban,Special
North Eastern,Embu,Male,9,Three,Physical,Urban,Regular
North Eastern,Isiolo,Male,7,Two,Physical,Urban,Special
Central,Nyeri,Male,9,One,Physical,Urban,Integrated
Coast,Bomet,Female,6,Three,Physical,Rural,Special
Nyanza,Lamu,Female,6,One,Physical,Urban,Integrated
North Eastern,Laikipia,Male,5,Pre-School,Physical,Urban,Regular
Coast,Kajiado,Female,9,Two,Physical,Rural,Regular
Nyanza,Kisii,Male,9,Three,Visual,Urban,Regular
Nyanza,Turkana,Female,10,Two,Hearing,Urban,Regular
Eastern,Taita Taveta,Female,10,Three,Hearing,Urban,Regular
Nairobi,Kisii,Male,10,Two,Visual,Urban,Regular
Nairobi,Bungoma,Female,8,One,Visual,Rural,Regular
Nairobi,Nakuru,Male,7,Two,Visual,Urban,Regular
Nyanza,Kitui,Female,7,Three,Visual,Rural,Regular
Rift Valley,Garissa,Male,9,Three,Visual,Rural,Regular
Nyanza,Mandera,Female,7,Three,Visual,Urban,Regular
Rift Valley,Kajiado,Male,7,Two,Visual,Urban,Regular
North Eastern,Kisumu,Female,5,Pre-School,Hearing,Rural,Regular
Nairobi,Lamu,Female,6,Three,Hearing,Urban,Regular
Rift Valley,Kajiado,Male,7,Two,Hearing,Urban,Regular
Western,Kwale,Male,6,One,Hearing,Rural,Regular
Central,Siaya,Female,7,One,Hearing,Urban,Regular
Eastern,Bungoma,Male,10,Three,Physical,Rural,Regular
North Eastern,Tana River,Female,9,One,Visual,Urban,Integrated
Eastern,Garissa,Male,9,One,Hearing,Rural,Integrated
Coast,Migori,Female,9,Three,Physical,Rural,Integrated
Eastern,Kisumu,Female,10,Two,Visual,Urban,Integrated
Western,Garissa,Male,6,One,Hearing,Urban,Regular
Western,Wajir,Female,9,One,Hearing,Urban,Special
Eastern,Nyandarua,Female,6,Two,Physical,Urban,Regular
North Eastern,Machakos,Male,10,Three,Physical,Urban,Integrated
Coast,Kericho,Male,9,Two,Hearing,Urban,Integrated
Eastern,Kakamega,Female,7,Three,Physical,Rural,Integrated
Rift Valley,Nandi,Female,9,Two,Physical,Urban,Integrated
Rift Valley,Kericho,Female,9,Two,Physical,Urban,Integrated
North Eastern,Migori,Male,6,One,Physical,Rural,Integrated
North Eastern,Nairobi,Male,8,One,Physical,Urban,Regular
Rift Valley,Nyandarua,Male,7,Two,Physical,Rural,Regular
Eastern,Machakos,Male,8,Two,Physical,Rural,Regular
Central,Nakuru,Female,6,One,Autism,Urban,Regular
Eastern,Homa Bay,Male,6,Three,Physical,Urban,Regular
Rift Valley,Marsabit,Female,7,Three,Hearing,Urban,Regular
Western,West Pokot,Male,9,Two,Physical,Urban,Regular
Rift Valley,Nyandarua,Female,6,Two,Visual,Urban,Regular
Rift Valley,Kakamega,Female,8,Two,Visual,Rural,Regular
Rift Valley,Isiolo,Male,7,Two,Visual,Urban,Regular
Rift Valley,Samburu,Male,7,Two,Physical,Rural,Integrated
Western,Kitui,Female,6,Three,Physical,Urban,Regular
Nairobi,Elgeyo Marakwet,Female,8,One,Physical,Urban,Regular
Central,Tharaka Nithi,Female,9,One,Physical,Rural,Regular
Rift Valley,Trans Nzoia,Male,5,Pre-School,Physical,Urban,Special
Eastern,Nandi,Female,9,Three,Physical,Urban,Integrated
Nyanza,Garissa,Female,10,Three,Physical,Urban,Integrated
Central,Kwale,Female,8,Two,Physical,Urban,Special
Coast,Kericho,Male,8,One,Physical,Urban,Integrated
Nairobi,Kiambu,Female,7,Three,Autism,Urban,Special
Rift Valley,Makueni,Male,10,Two,Visual,Urban,Integrated
Eastern,Baringo,Male,10,One,Visual,Urban,Regular
Coast,Uasin Gishu,Female,9,Three,Physical,Urban,Regular
Coast,Mandera,Male,5,Pre-School,Visual,Urban,Regular
Nairobi,Migori,Female,6,Two,Hearing,Urban,Regular
Western,Bomet,Female,8,Two,Hearing,Urban,Integrated
Coast,Kwale,Male,6,Two,Autism,Urban,Regular
Nairobi,Bomet,Female,6,One,Physical,Urban,Integrated
Rift Valley,Mandera,Female,9,Two,Physical,Urban,Integrated
Eastern,Taita Taveta,Female,9,Two,Visual,Urban,Regular
Eastern,Siaya,Male,10,One,Physical,Rural,Integrated
Eastern,Nyeri,Female,8,Three,Physical,Urban,Regular
Western,Wajir,Male,8,Three,Visual,Urban,Regular
Western,Garissa,Female,8,Two,Hearing,Rural,Special
Coast,Nyeri,Female,9,Three,Visual,Urban,Regular
Western,Uasin Gishu,Female,9,Three,Physical,Urban,Integrated
Eastern,Kiambu,Female,8,One,Physical,Urban,Regular
Rift Valley,Kitui,Female,5,Pre-School,Hearing,Rural,Integrated
Nyanza,Nandi,Male,8,One,Physical,Urban,Integrated
Nairobi,Kisumu,Female,9,Three,Hearing,Urban,Integrated
Eastern,Narok,Male,9,One,Autism,Urban,Regular
Nairobi,Nyeri,Female,6,Three,Visual,Urban,Integrated
Coast,Mandera,Male,9,Three,Autism,Urban,Integrated
Rift Valley,Nandi,Male,5,Pre-School,Hearing,Urban,Special
North Eastern,Kakamega,Female,7,Three,Physical,Urban,Integrated
Nairobi,Baringo,Male,9,One,Physical,Urban,Regular
Nyanza,Laikipia,Male,10,Three,Hearing,Urban,Regular
Nairobi,Mombasa,Female,10,Three,Hearing,Rural,Regular
Nyanza,Mandera,Female,5,Pre-School,Hearing,Rural,Regular
Nyanza,Trans Nzoia,Female,8,One,Hearing,Urban,Regular
North Eastern,West Pokot,Female,10,One,Visual,Rural,Regular
Eastern,Elgeyo Marakwet,Female,9,Two,Physical,Urban,Regular
Western,West Pokot,Male,9,One,Hearing,Urban,Regular
Central,Nairobi,Female,10,Two,Autism,Urban,Regular
North Eastern,Kiambu,Male,7,Three,Physical,Urban,Regular
Rift Valley,Turkana,Male,8,One,Visual,Rural,Regular
Nairobi,Kakamega,Female,10,One,Hearing,Urban,Regular
Nyanza,Kirinyaga,Female,10,One,Visual,Urban,Regular
North Eastern,Murang'a,Male,5,Pre-School,Hearing,Rural,Regular
Nairobi,Mandera,Male,5,Pre-School,Visual,Rural,Regular
Central,Trans Nzoia,Male,9,Two,Visual,Urban,Regular
Coast,Trans Nzoia,Female,6,One,Physical,Urban,Regular
Eastern,Taita Taveta,Male,10,Three,Hearing,Urban,Regular
Rift Valley,West Pokot,Female,7,Three,Visual,Urban,Regular
Nyanza,Kirinyaga,Male,9,Two,Visual,Urban,Regular
Nairobi,Mandera,Female,10,One,Hearing,Urban,Regular
Nyanza,Embu,Male,9,One,Hearing,Urban,Regular
North Eastern,Trans Nzoia,Male,6,Two,Visual,Rural,Special
Rift Valley,Nyandarua,Male,5,Pre-School,Autism,Urban,Regular
Central,Busia,Female,6,Three,Hearing,Rural,Special
Western,Kakamega,Male,9,One,Physical,Rural,Integrated
Central,Nyamira,Male,8,Two,Visual,Urban,Special
North Eastern,Mandera,Male,10,One,Hearing,Urban,Regular
North Eastern,Kitui,Female,5,Pre-School,Physical,Urban,Integrated
Eastern,Makueni,Male,10,Three,Hearing,Urban,Regular
Western,Migori,Male,6,Three,Hearing,Urban,Integrated
North Eastern,Nyeri,Female,6,Three,Visual,Urban,Special
Eastern,Kiambu,Female,7,Two,Visual,Urban,Regular
Central,Kisii,Female,10,Two,Physical,Urban,Special
Eastern,Elgeyo Marakwet,Female,9,Three,Visual,Urban,Integrated
Nyanza,Embu,Female,5,Pre-School,Visual,Urban,Integrated
Central,Kakamega,Male,6,One,Visual,Urban,Integrated
Nairobi,Kiambu,Male,5,Pre-School,Visual,Urban,Regular
Rift Valley,Mandera,Male,5,Pre-School,Hearing,Urban,Integrated
Coast,Bungoma,Male,8,Three,Physical,Urban,Integrated
Central,Kitui,Male,9,Two,Visual,Rural,Integrated
Western,Samburu,Male,7,Two,Physical,Urban,Integrated
Central,Kiambu,Female,5,Pre-School,Hearing,Urban,Integrated
Rift Valley,Taita Taveta,Female,6,One,Physical,Urban,Regular
Western,Vihiga,Female,5,Pre-School,Physical,Urban,Integrated
North Eastern,Siaya,Female,5,Pre-School,Visual,Urban,Regular
North Eastern,Kwale,Male,5,Pre-School,Physical,Urban,Integrated
Western,Narok,Female,5,Pre-School,Hearing,Urban,Regular
North Eastern,Kakamega,Female,9,One,Visual,Rural,Integrated
Western,Wajir,Female,5,Pre-School,Hearing,Urban,Special
Coast,Mombasa,Male,9,One,Hearing,Urban,Integrated
North Eastern,Kilifi,Male,10,Two,Visual,Urban,Regular
Rift Valley,Trans Nzoia,Male,5,Pre-School,Hearing,Rural,Regular
Nyanza,Machakos,Female,10,Two,Hearing,Urban,Regular
North Eastern,Taita Taveta,Female,10,One,Visual,Urban,Regular
Coast,Nandi,Female,7,Two,Autism,Rural,Regular
Western,Lamu,Female,8,Two,Hearing,Urban,Regular
Nyanza,Busia,Male,7,Two,Physical,Urban,Regular
Nairobi,Isiolo,Female,6,Three,Hearing,Urban,Regular
Western,West Pokot,Female,5,Pre-School,Visual,Urban,Regular
Eastern,Migori,Female,9,Three,Visual,Urban,Regular
Eastern,Baringo,Male,9,Two,Visual,Rural,Regular
Coast,Uasin Gishu,Female,7,Three,Physical,Rural,Regular
Coast,Nyeri,Male,9,One,Physical,Urban,Regular
Rift Valley,Kirinyaga,Female,9,Two,Physical,Urban,Regular
Nyanza,Taita Taveta,Male,8,Two,Hearing,Urban,Regular
Eastern,Nandi,Male,10,One,Hearing,Urban,Regular
Rift Valley,Tharaka Nithi,Male,6,Two,Visual,Urban,Regular
Rift Valley,Embu,Female,9,Two,Autism,Urban,Regular
Rift Valley,Taita Taveta,Male,10,One,Autism,Urban,Regular
Eastern,Kisii,Female,7,Two,Physical,Rural,Regular
Central,Mombasa,Female,6,Three,Physical,Urban,Regular
Western,Kitui,Male,7,One,Physical,Rural,Regular
Nyanza,Nairobi,Male,6,Three,Physical,Urban,Regular
North Eastern,Tana River,Male,7,Two,Physical,Rural,Regular
Eastern,Nandi,Female,10,One,Physical,Urban,Regular
North Eastern,Kiambu,Male,6,Three,Physical,Urban,Integrated
Central,Nyamira,Male,9,Three,Physical,Urban,Regular
Rift Valley,Kitui,Male,5,Pre-School,Physical,Urban,Integrated
Western,Migori,Male,8,Three,Physical,Rural,Regular
Western,Meru,Female,7,Three,Physical,Urban,Integrated
Eastern,Elgeyo Marakwet,Female,6,Two,Physical,Rural,Integrated
Nairobi,Kakamega,Female,8,Three,Physical,Rural,Regular
North Eastern,Kwale,Male,7,Three,Physical,Urban,Integrated
North Eastern,West Pokot,Female,6,Two,Visual,Urban,Regular
North Eastern,Tharaka Nithi,Male,9,Two,Hearing,Urban,Regular
Coast,Makueni,Male,10,Two,Hearing,Urban,Special
Nyanza,Bungoma,Male,10,Three,Hearing,Urban,Regular
Nairobi,Kajiado,Female,7,Three,Visual,Urban,Integrated
North Eastern,Kitui,Female,5,Pre-School,Visual,Urban,Regular
Western,Kericho,Female,8,Three,Hearing,Rural,Integrated
Central,Kisumu,Male,7,Three,Hearing,Rural,Regular
Nyanza,Kirinyaga,Male,7,Three,Physical,Urban,Integrated
Eastern,Laikipia,Male,5,Pre-School,Visual,Urban,Regular
Nairobi,Kisumu,Female,5,Pre-School,Hearing,Urban,Integrated
Western,Homa Bay,Male,9,Two,Visual,Rural,Regular
Nyanza,Taita Taveta,Male,9,Three,Visual,Urban,Integrated
North Eastern,Kwale,Male,9,Three,Autism,Urban,Regular
Rift Valley,Lamu,Male,9,One,Visual,Urban,Regular
Eastern,Trans Nzoia,Female,10,One,Visual,Urban,Regular
Western,Narok,Male,8,One,Hearing,Urban,Integrated
Nyanza,Kajiado,Male,10,One,Hearing,Urban,Integrated
Rift Valley,Homa Bay,Male,10,Three,Hearing,Urban,Integrated
Rift Valley,Baringo,Female,9,One,Hearing,Urban,Integrated
Eastern,Nakuru,Male,5,Pre-School,Hearing,Urban,Special
Coast,Narok,Female,10,One,Physical,Urban,Regular
Western,Kilifi,Female,8,Two,Visual,Urban,Integrated
Nairobi,Elgeyo Marakwet,Female,6,One,Hearing,Urban,Integrated
Central,Samburu,Male,8,Three,Hearing,Urban,Integrated
North Eastern,Kirinyaga,Male,8,Two,Hearing,Urban,Regular
Rift Valley,Siaya,Male,8,Two,Visual,Urban,Regular
Central,Kericho,Male,8,Three,Hearing,Urban,Regular
Coast,West Pokot,Male,10,Three,Hearing,Urban,Regular
Western,Kitui,Female,9,Three,Visual,Urban,Regular
Eastern,Mombasa,Female,9,Three,Autism,Urban,Regular
Eastern,Kisii,Female,10,Two,Autism,Urban,Regular
Eastern,Uasin Gishu,Female,8,One,Autism,Urban,Regular
Nyanza,Garissa,Male,7,One,Autism,Urban,Regular
North Eastern,Embu,Male,10,Three,Autism,Urban,Regular
Nairobi,Turkana,Male,10,One,Autism,Rural,Regular
Central,Kitui,Male,10,One,Autism,Urban,Regular
Western,Nyandarua,Male,8,One,Autism,Urban,Regular
Rift Valley,Garissa,Male,10,Two,Autism,Urban,Regular
Nyanza,Mandera,Female,7,One,Autism,Urban,Regular
Coast,Kitui,Female,10,Two,Autism,Rural,Regular
North Eastern,Tana River,Female,5,Pre-School,Autism,Rural,Regular
Rift Valley,Kakamega,Female,10,One,Autism,Rural,Regular
North Eastern,Nyeri,Female,7,One,Autism,Urban,Regular
Nyanza,Laikipia,Male,6,Two,Autism,Urban,Regular
Coast,Kwale,Female,10,Three,Autism,Urban,Special
Western,Homa Bay,Female,9,Three,Autism,Urban,Regular
Western,Tharaka Nithi,Male,10,Two,Autism,Urban,Regular
Nyanza,Kiambu,Male,6,Three,Autism,Urban,Regular
Western,Busia,Female,10,One,Autism,Urban,Integrated
North Eastern,Tharaka Nithi,Female,6,Two,Hearing,Urban,Integrated
Coast,Kirinyaga,Female,7,One,Visual,Rural,Regular
Nairobi,Tharaka Nithi,Female,7,Two,Visual,Urban,Special
Coast,Kisumu,Female,9,Two,Physical,Urban,Integrated
Nairobi,Bomet,Male,7,Two,Hearing,Urban,Integrated
Eastern,Laikipia,Female,8,Two,Autism,Urban,Regular
Nairobi,Marsabit,Female,7,One,Visual,Urban,Regular
Nyanza,Wajir,Female,6,Three,Physical,Urban,Regular
North Eastern,Garissa,Female,6,One,Autism,Urban,Special
Central,Siaya,Male,10,Two,Hearing,Urban,Special
Western,Elgeyo Marakwet,Male,10,Two,Visual,Rural,Special
Eastern,Vihiga,Male,6,One,Visual,Urban,Special
Eastern,Lamu,Male,10,Two,Hearing,Urban,Special
Nyanza,Migori,Male,8,Three,Physical,Urban,Special
Eastern,Elgeyo Marakwet,Male,6,One,Hearing,Rural,Special
Western,Kirinyaga,Male,6,Three,Physical,Urban,Special
Rift Valley,Meru,Female,6,One,Physical,Urban,Special
Rift Valley,Samburu,Male,5,Pre-School,Physical,Urban,Special
North Eastern,Kisumu,Female,7,One,Physical,Urban,Special
North Eastern,Wajir,Male,9,Two,Visual,Urban,Special
Rift Valley,Bomet,Female,6,One,Hearing,Urban,Special
North Eastern,Taita Taveta,Female,9,Three,Autism,Urban,Special
North Eastern,Laikipia,Female,6,Two,Hearing,Urban,Special
Eastern,Kwale,Male,6,Three,Physical,Urban,Special
Nyanza,Makueni,Male,9,One,Visual,Urban,Special
Coast,Nairobi,Female,5,Pre-School,Physical,Urban,Special
Central,Kilifi,Female,6,Three,Physical,Urban,Special
Coast,Homa Bay,Female,9,One,Physical,Urban,Special
Coast,Samburu,Female,6,Three,Hearing,Urban,Special
Nyanza,Bungoma,Male,6,One,Physical,Urban,Special
Western,Kitui,Female,10,Three,Visual,Urban,Special
Central,Murang'a,Female,7,Three,Hearing,Rural,Special
Central,Turkana,Male,8,Two,Autism,Rural,Special
Coast,Bungoma,Female,6,Three,Physical,Urban,Special
North Eastern,Kericho,Female,10,Three,Hearing,Urban,Special
